Time,DistanceX,DistanceY,rnti,sinr
4.7,-250.536,-242.573,1,23.4
4.7,-251.262,-244.22,2,23.03
4.7,-252.513,-252.381,3,23.02
4.8,-250.846,-242.778,1,23.4
4.8,-251.228,-244.165,2,23.03
4.8,-252.387,-252.164,3,23.02
4.9,-251.115,-242.963,1,23.4
4.9,-251.358,-244.48,2,23.03
4.9,-252.26,-251.947,3,23.02
5.0,-251.281,-243.094,1,23.4
5.0,-251.488,-244.795,2,23.03
5.0,-251.964,-251.832,3,23.02
5.1,-251.447,-243.226,1,23.4
5.1,-251.611,-244.828,2,23.03
5.1,-251.668,-251.718,3,23.02
5.2,-251.613,-243.357,1,23.4
5.2,-251.726,-244.517,2,23.03
5.2,-251.372,-251.604,3,23.02
5.3,-251.779,-243.488,1,23.4
5.3,-251.841,-244.206,2,23.03
5.3,-251.492,-251.456,3,23.02
5.4,-251.713,-243.683,1,23.4
5.4,-251.816,-244.023,2,23.03
5.4,-251.687,-251.302,3,23.02
5.5,-251.463,-243.926,1,23.4
5.5,-251.607,-244.005,2,23.03
5.5,-251.882,-251.148,3,23.02
5.6,-251.214,-244.17,1,23.4
5.6,-251.399,-243.987,2,23.03
5.6,-252.078,-250.994,3,23.02
5.7,-251.384,-244.194,1,23.4
5.7,-251.19,-243.97,2,23.03
5.7,-252.244,-251.095,3,23.02
5.8,-251.742,-244.12,1,23.4
5.8,-250.982,-243.952,2,23.03
5.8,-252.404,-251.25,3,23.02
5.9,-252.1,-244.046,1,23.4
5.9,-250.759,-244.037,2,23.03
5.9,-252.564,-251.405,3,23.02
6.0,-252.124,-243.685,1,23.4
6.0,-250.529,-244.175,2,23.03
6.0,-252.723,-251.559,3,23.02
6.1,-252.133,-243.31,1,23.4
6.1,-250.298,-244.314,2,23.03
6.1,-252.944,-251.694,3,23.02
6.2,-252.245,-243.029,1,23.4
6.2,-250.068,-244.452,2,23.03
6.2,-253.29,-251.789,3,23.02
6.3,-252.613,-242.982,1,23.4
6.3,-249.849,-244.75,2,23.03
6.3,-253.636,-251.883,3,23.02
6.4,-252.982,-242.935,1,23.4
6.4,-249.632,-245.06,2,23.03
6.4,-253.676,-252.008,3,23.02
6.5,-253.072,-243.056,1,23.4
6.5,-249.381,-245.329,2,23.03
6.5,-253.455,-252.158,3,23.02
6.6,-252.973,-243.292,1,23.4
6.6,-249.05,-245.501,2,23.03
6.6,-253.234,-252.308,3,23.02
6.7,-252.874,-243.528,1,23.4
6.7,-248.72,-245.672,2,23.03
6.7,-253.013,-252.458,3,23.02
6.8,-252.775,-243.764,1,23.4
6.8,-248.518,-245.939,2,23.03
6.8,-252.83,-252.649,3,23.02
6.9,-252.611,-243.935,1,23.4
6.9,-248.4,-246.27,2,23.03
6.9,-252.657,-252.851,3,23.02
7.0,-252.417,-244.077,1,23.4
7.0,-248.283,-246.601,2,23.03
7.0,-252.484,-253.053,3,23.02
7.1,-252.223,-244.219,1,23.4
7.1,-248.223,-246.896,2,23.03
7.1,-252.317,-253.238,3,23.02
7.2,-252.029,-244.361,1,23.4
7.2,-248.182,-247.181,2,23.03
7.2,-252.306,-252.961,3,23.02
7.3,-251.839,-244.556,1,23.4
7.3,-248.141,-247.465,2,23.03
7.3,-252.296,-252.684,3,23.02
7.4,-251.652,-244.8,1,23.4
7.4,-248.007,-247.664,2,23.03
7.4,-252.285,-252.407,3,23.02
7.5,-251.466,-245.043,1,23.4
7.5,-247.623,-247.635,2,23.03
7.5,-252.3,-252.371,3,23.02
7.6,-251.262,-245.207,1,23.4
7.6,-247.239,-247.606,2,23.03
7.6,-252.348,-252.657,3,23.02
7.7,-251.009,-245.147,1,23.4
7.7,-247.025,-247.737,2,23.03
7.7,-252.396,-252.944,3,23.02
7.8,-250.756,-245.087,1,23.4
7.8,-246.894,-247.944,2,23.03
7.8,-252.444,-253.23,3,23.02
7.9,-250.503,-245.028,1,23.4
7.9,-246.762,-248.152,2,23.03
7.9,-252.355,-253.045,3,23.02
8.0,-250.421,-244.918,1,23.4
8.0,-246.63,-248.359,2,23.03
8.0,-252.263,-252.853,3,23.02
8.1,-250.579,-244.739,1,23.4
8.1,-246.533,-248.302,2,23.03
8.1,-252.172,-252.66,3,23.02
8.2,-250.737,-244.56,1,23.4
8.2,-246.46,-248.073,2,23.03
8.2,-252.08,-252.467,3,23.02
8.3,-250.894,-244.381,1,23.4
8.3,-246.386,-247.844,2,23.03
8.3,-252.066,-252.276,3,23.02
8.4,-251.028,-244.177,1,23.4
8.4,-246.312,-247.615,2,23.03
8.4,-252.236,-252.087,3,23.02
8.5,-251.082,-243.891,1,23.4
8.5,-246.215,-247.582,2,23.03
8.5,-252.405,-251.898,3,23.02
8.6,-251.135,-243.604,1,23.4
8.6,-246.091,-247.786,2,23.03
8.6,-252.575,-251.709,3,23.02
8.7,-251.189,-243.318,1,23.4
8.7,-245.967,-247.991,2,23.03
8.7,-252.558,-251.622,3,23.02
8.8,-251.517,-243.246,1,23.4
8.8,-245.842,-248.195,2,23.03
8.8,-252.207,-251.717,3,23.02
8.9,-251.915,-243.23,1,23.4
8.9,-245.668,-248.334,2,23.03
8.9,-251.856,-251.812,3,23.02
9.0,-252.158,-243.265,1,23.4
9.0,-245.359,-248.297,2,23.03
9.0,-251.707,-252.012,3,23.02
9.1,-252.014,-243.428,1,23.4
9.1,-245.051,-248.259,2,23.03
9.1,-251.689,-252.281,3,23.02
9.2,-251.869,-243.592,1,23.4
9.2,-244.752,-248.24,2,23.03
9.2,-251.67,-252.549,3,23.02
9.3,-251.725,-243.756,1,23.4
9.3,-244.626,-248.525,2,23.03
9.3,-251.651,-252.817,3,23.02
9.4,-251.581,-243.919,1,23.4
9.4,-244.499,-248.81,2,23.03
9.4,-251.4,-252.594,3,23.02
9.5,-251.588,-243.783,1,23.4
9.5,-244.373,-249.095,2,23.03
9.5,-251.119,-252.31,3,23.02
9.6,-251.659,-243.52,1,23.4
9.6,-244.238,-248.842,2,23.03
9.6,-250.888,-252.207,3,23.02
9.7,-251.73,-243.258,1,23.4
9.7,-244.103,-248.493,2,23.03
9.7,-250.737,-252.397,3,23.02
9.8,-251.809,-242.996,1,23.4
9.8,-244.053,-248.217,2,23.03
9.8,-250.586,-252.587,3,23.02
9.9,-252.124,-242.77,1,23.4
9.9,-244.4,-248.277,2,23.03
9.9,-250.434,-252.776,3,23.02
10.0,-252.439,-242.543,1,23.4
10.0,-244.747,-248.336,2,23.03
10.0,-250.225,-252.934,3,23.02
10.1,-252.62,-242.256,1,23.4
10.1,-244.884,-248.327,2,23.03
10.1,-249.85,-253.0,3,23.02
10.2,-252.641,-241.896,1,23.4
10.2,-244.607,-248.181,2,23.03
10.2,-249.476,-253.067,3,23.02
10.3,-252.661,-241.536,1,23.4
10.3,-244.331,-248.036,2,23.03
10.3,-249.277,-252.926,3,23.02
10.4,-252.612,-241.213,1,23.4
10.4,-244.13,-247.901,2,23.03
10.4,-249.182,-252.665,3,23.02
10.5,-252.531,-240.908,1,23.4
10.5,-244.409,-247.834,2,23.03
10.5,-249.086,-252.403,3,23.02
10.6,-252.45,-240.603,1,23.4
10.6,-244.687,-247.767,2,23.03
10.6,-248.999,-252.142,3,23.02
10.7,-252.258,-240.384,1,23.4
10.7,-244.966,-247.7,2,23.03
10.7,-249.118,-251.892,3,23.02
10.8,-251.962,-240.247,1,23.4
