Time	UE Id	DistanceX	DistanceY
5.6	1	-151.399	-23.9873
5.6	2	-172.078	-38.9945
5.7	0	-101.384	-44.1938
5.7	1	-151.19	-23.9697
5.7	2	-172.244	-39.0954
5.8	0	-101.742	-44.1199
5.8	1	-150.982	-23.952
5.8	2	-172.404	-39.25
5.9	0	-102.1	-44.046
5.9	1	-150.759	-24.0365
5.9	2	-172.564	-39.4047
6	0	-102.124	-43.685
6	1	-150.529	-24.1752
6	2	-172.723	-39.5594
6.1	0	-102.133	-43.3102
6.1	1	-150.298	-24.3138
6.1	2	-172.944	-39.6942
6.2	0	-102.245	-43.0294
6.2	1	-150.068	-24.4524
6.2	2	-173.29	-39.7886
6.3	0	-102.613	-42.9821
6.3	1	-149.849	-24.7504
6.3	2	-173.636	-39.8831
6.4	0	-102.982	-42.9349
6.4	1	-149.632	-25.0599
6.4	2	-173.676	-40.0075
6.5	0	-103.072	-43.0561
6.5	1	-149.381	-25.3293
6.5	2	-173.455	-40.1577
6.6	0	-102.973	-43.2919
6.6	1	-149.05	-25.5006
6.6	2	-173.234	-40.3079
6.7	0	-102.874	-43.5277
6.7	1	-148.72	-25.6718
6.7	2	-173.013	-40.4581
6.8	0	-102.775	-43.7635
6.8	1	-148.518	-25.9395
6.8	2	-172.83	-40.6494
6.9	0	-102.611	-43.935
6.9	1	-148.4	-26.2701
6.9	2	-172.657	-40.8513
7	0	-102.417	-44.0769
7	1	-148.283	-26.6008
7	2	-172.484	-41.0532
7.1	0	-102.223	-44.2189
7.1	1	-148.223	-26.8964
7.1	2	-172.317	-41.2378
7.2	0	-102.029	-44.3608
7.2	1	-148.182	-27.1806
7.2	2	-172.306	-40.9608
7.3	0	-101.839	-44.5561
7.3	1	-148.141	-27.4649
7.3	2	-172.296	-40.6838
7.4	0	-101.652	-44.7996
7.4	1	-148.007	-27.6637
7.4	2	-172.285	-40.4067
7.5	0	-101.466	-45.043
7.5	1	-147.623	-27.635
7.5	2	-172.3	-40.3713
7.6	0	-101.262	-45.2066
7.6	1	-147.239	-27.6063
7.6	2	-172.348	-40.6574
7.7	0	-101.009	-45.147
7.7	1	-147.025	-27.7368
7.7	2	-172.396	-40.9435
7.8	0	-100.756	-45.0874
7.8	1	-146.894	-27.9443
7.8	2	-172.444	-41.2297
7.9	0	-100.503	-45.0278
7.9	1	-146.762	-28.1519
7.9	2	-172.355	-41.0455
8	0	-100.421	-44.9183
8	1	-146.63	-28.3594
8	2	-172.263	-40.8527
8.1	0	-100.579	-44.7391
8.1	1	-146.533	-28.3025
8.1	2	-172.172	-40.66
8.2	0	-100.737	-44.56
8.2	1	-146.46	-28.0735
8.2	2	-172.08	-40.4673
8.3	0	-100.894	-44.3808
8.3	1	-146.386	-27.8445
8.3	2	-172.066	-40.2757
8.4	0	-101.028	-44.1771
8.4	1	-146.312	-27.6155
8.4	2	-172.236	-40.0869
8.5	0	-101.082	-43.8907
8.5	1	-146.215	-27.5816
8.5	2	-172.405	-39.898
8.6	0	-101.135	-43.6043
8.6	1	-146.091	-27.7862
8.6	2	-172.575	-39.7092
8.7	0	-101.189	-43.3179
8.7	1	-145.967	-27.9909
8.7	2	-172.558	-39.6222
8.8	0	-101.517	-43.2463
8.8	1	-145.842	-28.1955
8.8	2	-172.207	-39.7171
8.9	0	-101.915	-43.2297
8.9	1	-145.668	-28.334
8.9	2	-171.856	-39.812
9	0	-102.158	-43.2646
9	1	-145.359	-28.2967
9	2	-171.707	-40.0125
9.1	0	-102.014	-43.4283
9.1	1	-145.051	-28.2593
9.1	2	-171.689	-40.2805
9.2	0	-101.869	-43.592
9.2	1	-144.752	-28.2398
9.2	2	-171.67	-40.5486
9.3	0	-101.725	-43.7556
9.3	1	-144.626	-28.5249
9.3	2	-171.651	-40.8167
9.4	0	-101.581	-43.9193
9.4	1	-144.499	-28.8099
9.4	2	-171.4	-40.5944
9.5	0	-101.588	-43.7833
9.5	1	-144.373	-29.095
9.5	2	-171.119	-40.3104
9.6	0	-101.659	-43.5204
