DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.122821	12	2	3	3	1	1	3	0	2126	28	0	24.396	0	0.00598801
UL	0.130786	13	0	3	1	1	1	1	0	1946	26	0	20.3582 	0	0.00638976
UL	0.130804	13	0	3	2	1	1	2	0	2126	28	0	25.163 	0	0.00269757
DL	0.132786	13	2	3	1	1	1	1	0	1946	26	0	20.1855	1	0.00638976
DL	0.132804	13	2	3	2	1	1	2	0	2126	28	0	25.0376	0	0.00269757
DL	0.132821	13	2	3	3	1	1	3	0	2126	28	0	24.2786	0	0.00598801
DL	0.133536	13	3	2	1	1	1	1	0	1946	26	1	20.0702	0	0
DL	0.133554	13	3	2	2	1	1	1	0	1946	26	2	20.0659	0	0.00638976
UL	0.140786	14	0	3	1	1	1	1	0	1946	26	0	20.105 	0	0.00638976
UL	0.140804	14	0	3	2	1	1	2	0	2126	28	0	24.7891 	0	0.00539029
DL	0.142786	14	2	3	1	1	1	1	0	1946	26	0	20.1375	0	0.00638976
DL	0.142804	14	2	3	2	1	1	2	0	2126	28	0	24.7919	0	0.00539029
DL	0.142821	14	2	3	3	1	1	3	0	2126	28	0	24.3875	0	0.00598801
UL	0.150786	15	0	3	1	1	1	1	0	1946	26	0	20.0125 	0	0.00638976
UL	0.150804	15	0	3	2	1	1	2	0	2126	28	0	24.698 	0	0.00539029
DL	0.152786	15	2	3	1	1	1	1	0	1946	26	0	20.0433	0	0.00638976
DL	0.152804	15	2	3	2	1	1	2	0	2126	28	0	24.8301	0	0.00539029
DL	0.152821	15	2	3	3	1	1	3	0	2126	28	0	24.3424	0	0.00598801
UL	0.160786	16	0	3	1	1	1	1	0	1946	26	0	19.6895 	1	0.354857
UL	0.160804	16	0	3	2	1	1	2	0	2126	28	0	24.9808 	0	0.00269757
UL	0.161536	16	1	2	1	1	1	1	0	1946	26	1	19.6475 	0	0
DL	0.162786	16	2	3	1	1	1	1	0	1946	26	0	19.6257	0	0.354857
DL	0.162804	16	2	3	2	1	1	2	0	2126	28	0	24.7237	0	0.00539029
DL	0.162821	16	2	3	3	1	1	3	0	2126	28	0	24.0708	0	0.00598801
UL	0.170786	17	0	3	1	1	1	1	0	1831	25	0	19.4115 	0	0
UL	0.170804	17	0	3	2	1	1	2	0	2126	28	0	24.9147 	0	0.00269757
DL	0.172786	17	2	3	1	1	1	1	0	1717	24	0	19.3588	0	0
DL	0.172804	17	2	3	2	1	1	2	0	2126	28	0	24.9823	0	0.00269757
DL	0.172821	17	2	3	3	1	1	3	0	2126	28	0	24.1193	0	0.00598801
UL	0.180786	18	0	3	1	1	1	1	0	1831	25	0	19.2801 	0	0.339237
UL	0.180804	18	0	3	2	1	1	2	0	2126	28	0	24.5806 	0	0.00539029
DL	0.182786	18	2	3	1	1	1	1	0	1717	24	0	19.2562	0	0
DL	0.182804	18	2	3	2	1	1	2	0	2126	28	0	24.4715	0	0.00539029
DL	0.182821	18	2	3	3	1	1	3	0	2126	28	0	23.9543	0	0.0184849
UL	0.190786	19	0	3	1	1	1	1	0	1831	25	0	19.3316 	1	0.339237
UL	0.190804	19	0	3	2	1	1	2	0	2126	28	0	24.5363 	0	0.00539029
UL	0.191536	19	1	2	1	1	1	1	0	1831	25	1	19.2735 	0	0
DL	0.192786	19	2	3	1	1	1	1	0	1717	24	0	19.2121	0	0
DL	0.192804	19	2	3	2	1	1	2	0	2126	28	0	24.5704	0	0.00539029
DL	0.192821	19	2	3	3	1	1	3	0	1946	26	0	23.9212	0	0
UL	0.200786	20	0	3	1	1	1	1	0	1831	25	0	19.1345 	0	0.339237
UL	0.200804	20	0	3	2	1	1	2	0	2126	28	0	24.4686 	0	0.00539029
DL	0.202786	20	2	3	1	1	1	1	0	1717	24	0	19.1723	0	0
DL	0.202804	20	2	3	2	1	1	2	0	2126	28	0	24.4771	0	0.00539029
DL	0.202821	20	2	3	3	1	1	3	0	1946	26	0	23.6845	0	0
UL	0.210786	21	0	3	1	1	1	1	0	1831	25	0	19.4793 	0	0
UL	0.210804	21	0	3	2	1	1	2	0	2126	28	0	24.4098 	0	0.00598801
DL	0.212786	21	2	3	1	1	1	1	0	1717	24	0	19.5322	0	0
DL	0.212804	21	2	3	2	1	1	2	0	2126	28	0	24.5512	0	0.00539029
DL	0.212821	21	2	3	3	1	1	3	0	1946	26	0	23.8035	0	0
UL	0.220786	22	0	3	1	1	1	1	0	1831	25	0	19.6221 	0	0
UL	0.220804	22	0	3	2	1	1	2	0	2126	28	0	24.5916 	0	0.00539029
DL	0.222786	22	2	3	1	1	1	1	0	1717	24	0	19.7581	0	0
DL	0.222804	22	2	3	2	1	1	2	0	2126	28	0	24.4863	0	0.00539029
DL	0.222821	22	2	3	3	1	1	3	0	1946	26	0	23.8029	0	0
UL	0.230786	23	0	3	1	1	1	1	0	1831	25	0	19.6629 	0	0
UL	0.230804	23	0	3	2	1	1	2	0	2126	28	0	24.5623 	0	0.00539029
DL	0.232786	23	2	3	1	1	1	1	0	1717	24	0	19.6893	0	0
DL	0.232804	23	2	3	2	1	1	2	0	2126	28	0	24.4951	0	0.00539029
DL	0.232821	23	2	3	3	1	1	3	0	1946	26	0	23.6861	0	0
UL	0.240786	24	0	3	1	1	1	1	0	1831	25	0	19.5855 	0	0
UL	0.240804	24	0	3	2	1	1	2	0	2126	28	0	24.0689 	0	0.00598801
DL	0.242786	24	2	3	1	1	1	1	0	1717	24	0	19.5938	0	0
DL	0.242804	24	2	3	2	1	1	2	0	2126	28	0	23.9774	0	0.0184849
DL	0.242821	24	2	3	3	1	1	3	0	1946	26	0	23.7203	0	0
UL	0.250786	25	0	3	1	1	1	1	0	1831	25	0	19.4114 	0	0
UL	0.250804	25	0	3	2	1	1	2	0	2126	28	0	23.8814 	0	0.0184849
DL	0.252786	25	2	3	1	1	1	1	0	1717	24	0	19.4839	0	0
DL	0.252804	25	2	3	2	1	1	2	0	1946	26	0	23.9355	0	0
DL	0.252821	25	2	3	3	1	1	3	0	1946	26	0	23.7546	0	0
UL	0.260786	26	0	3	1	1	1	1	0	1831	25	0	19.4179 	0	0
UL	0.260804	26	0	3	2	1	1	2	0	2038	27	0	23.9648 	0	0
DL	0.262786	26	2	3	1	1	1	1	0	1717	24	0	19.3695	0	0
DL	0.262804	26	2	3	2	1	1	2	0	1946	26	0	24.0733	0	0
DL	0.262821	26	2	3	3	1	1	3	0	1946	26	0	23.685	0	0
UL	0.270786	27	0	3	1	1	1	1	0	1831	25	0	19.645 	0	0
UL	0.270804	27	0	3	2	1	1	2	0	2038	27	0	24.1935 	0	0
DL	0.272786	27	2	3	1	1	1	1	0	1717	24	0	19.7705	0	0
DL	0.272804	27	2	3	2	1	1	2	0	2126	28	0	24.3483	0	0.00598801
DL	0.272821	27	2	3	3	1	1	3	0	1946	26	0	23.8209	0	0
UL	0.280786	28	0	3	1	1	1	1	0	1831	25	0	19.8424 	0	0
UL	0.280804	28	0	3	2	1	1	2	0	2126	28	0	24.368 	0	0.00598801
DL	0.282786	28	2	3	1	1	1	1	0	1717	24	0	19.8851	0	0
DL	0.282804	28	2	3	2	1	1	2	0	2126	28	0	24.2574	0	0.00598801
DL	0.282821	28	2	3	3	1	1	3	0	1946	26	0	23.931	0	0
UL	0.290786	29	0	3	1	1	1	1	0	1831	25	0	20.0061 	0	0
UL	0.290804	29	0	3	2	1	1	2	0	2126	28	0	24.4236 	0	0.00539029
DL	0.292786	29	2	3	1	1	1	1	0	1717	24	0	19.9145	0	0
DL	0.292804	29	2	3	2	1	1	2	0	2126	28	0	24.4238	0	0.00539029
DL	0.292821	29	2	3	3	1	1	3	0	1946	26	0	23.6223	0	0
UL	0.300786	30	0	3	1	1	1	1	0	1946	26	0	20.0256 	0	0.00638976
UL	0.300804	30	0	3	2	1	1	2	0	2126	28	0	24.2521 	0	0.00598801
DL	0.302786	30	2	3	1	1	1	1	0	1717	24	0	20.0449	0	0
DL	0.302804	30	2	3	2	1	1	2	0	2126	28	0	24.1744	0	0.00598801
DL	0.302821	30	2	3	3	1	1	3	0	1946	26	0	23.6415	0	0
UL	0.310786	31	0	3	1	1	1	1	0	1946	26	0	19.9838 	0	0.00638976
UL	0.310804	31	0	3	2	1	1	2	0	2126	28	0	24.0296 	0	0.00598801
DL	0.312786	31	2	3	1	1	1	1	0	1946	26	0	19.976	0	0.00638976
DL	0.312804	31	2	3	2	1	1	2	0	2126	28	0	24.1809	0	0.00598801
DL	0.312821	31	2	3	3	1	1	3	0	1946	26	0	23.4666	0	0
UL	0.320786	32	0	3	1	1	1	1	0	1946	26	0	19.9606 	0	0.00638976
UL	0.320804	32	0	3	2	1	1	2	0	2126	28	0	24.2154 	0	0.00598801
DL	0.322786	32	2	3	1	1	1	1	0	1946	26	0	19.9615	0	0.00638976
DL	0.322804	32	2	3	2	1	1	2	0	2126	28	0	24.3452	0	0.00598801
DL	0.322821	32	2	3	3	1	1	3	0	1946	26	0	23.5787	0	0
UL	0.330786	33	0	3	1	1	1	1	0	1946	26	0	19.7157 	1	0.354857
UL	0.330804	33	0	3	2	1	1	2	0	2126	28	0	24.3631 	0	0.00598801
UL	0.331536	33	1	2	1	1	1	1	0	1946	26	1	19.6813 	0	0
DL	0.332786	33	2	3	1	1	1	1	0	1946	26	0	19.6972	0	0.354857
DL	0.332804	33	2	3	2	1	1	2	0	2126	28	0	24.3778	0	0.00598801
DL	0.332821	33	2	3	3	1	1	3	0	1946	26	0	23.5127	0	0
UL	0.340786	34	0	3	1	1	1	1	0	1831	25	0	19.5465 	0	0
UL	0.340804	34	0	3	2	1	1	2	0	2126	28	0	24.5886 	0	0.00539029
DL	0.342786	34	2	3	1	1	1	1	0	1717	24	0	19.5488	0	0
DL	0.342804	34	2	3	2	1	1	2	0	2126	28	0	24.6232	0	0.00539029
DL	0.342821	34	2	3	3	1	1	3	0	1946	26	0	22.9214	0	0
UL	0.350786	35	0	3	1	1	1	1	0	1831	25	0	19.619 	0	0
UL	0.350804	35	0	3	2	1	1	2	0	2126	28	0	24.5837 	0	0.00539029
DL	0.352786	35	2	3	1	1	1	1	0	1717	24	0	19.6985	0	0
DL	0.352804	35	2	3	2	1	1	2	0	2126	28	0	24.6477	0	0.00539029
DL	0.352821	35	2	3	3	1	1	3	0	1946	26	0	22.8	0	0
UL	0.360786	36	0	3	1	1	1	1	0	1831	25	0	19.8258 	0	0
UL	0.360804	36	0	3	2	1	1	2	0	2126	28	0	24.7236 	0	0.00539029
DL	0.362786	36	2	3	1	1	1	1	0	1717	24	0	19.7663	0	0
DL	0.362804	36	2	3	2	1	1	2	0	2126	28	0	24.6663	0	0.00539029
DL	0.362821	36	2	3	3	1	1	3	0	1946	26	0	22.8634	0	0
UL	0.370786	37	0	3	1	1	1	1	0	1831	25	0	19.8598 	0	0
UL	0.370804	37	0	3	2	1	1	2	0	2126	28	0	24.6632 	0	0.00539029
DL	0.372786	37	2	3	1	1	1	1	0	1717	24	0	19.85	0	0
DL	0.372804	37	2	3	2	1	1	2	0	2126	28	0	24.4945	0	0.00539029
DL	0.372821	37	2	3	3	1	1	3	0	1946	26	0	22.7439	0	0
UL	0.380786	38	0	3	1	1	1	1	0	1831	25	0	19.8069 	0	0
UL	0.380804	38	0	3	2	1	1	2	0	2126	28	0	24.1608 	0	0.00598801
DL	0.382786	38	2	3	1	1	1	1	0	1717	24	0	19.7366	0	0
DL	0.382804	38	2	3	2	1	1	2	0	2126	28	0	24.3632	0	0.00598801
DL	0.382821	38	2	3	3	1	1	3	0	1946	26	0	22.4223	0	0
UL	0.390786	39	0	3	1	1	1	1	0	1831	25	0	19.6905 	0	0
UL	0.390804	39	0	3	2	1	1	2	0	2126	28	0	24.1505 	0	0.00598801
DL	0.392786	39	2	3	1	1	1	1	0	1717	24	0	19.6542	0	0
DL	0.392804	39	2	3	2	1	1	2	0	2126	28	0	24.2538	0	0.00598801
DL	0.392821	39	2	3	3	1	1	3	0	1946	26	0	22.2197	0	0
UL	0.400786	40	0	3	1	1	1	1	0	1831	25	0	19.7004 	0	0
UL	0.400804	40	0	3	2	1	1	2	0	2126	28	0	24.0853 	0	0.00598801
DL	0.402786	40	2	3	1	1	1	1	0	1717	24	0	19.6722	0	0
DL	0.402804	40	2	3	2	1	1	2	0	2126	28	0	24.1443	0	0.00598801
DL	0.402821	40	2	3	3	1	1	3	0	1946	26	0	22.0248	0	0
UL	0.410786	41	0	3	1	1	1	1	0	1831	25	0	19.5604 	0	0
UL	0.410804	41	0	3	2	1	1	2	0	2126	28	0	23.9583 	0	0.0184849
DL	0.412786	41	2	3	1	1	1	1	0	1717	24	0	19.527	0	0
DL	0.412804	41	2	3	2	1	1	2	0	2126	28	0	23.8932	0	0.0184849
DL	0.412821	41	2	3	3	1	1	3	0	1946	26	0	21.9079	0	0
UL	0.420786	42	0	3	1	1	1	1	0	1831	25	0	19.6652 	0	0
UL	0.420804	42	0	3	2	1	1	2	0	2038	27	0	24.054 	0	0
DL	0.422786	42	2	3	1	1	1	1	0	1717	24	0	19.7103	0	0
DL	0.422804	42	2	3	2	1	1	2	0	1946	26	0	24.0416	0	0
DL	0.422821	42	2	3	3	1	1	3	0	1946	26	0	21.7281	0	0
UL	0.430786	43	0	3	1	1	1	1	0	1831	25	0	19.6963 	0	0
UL	0.430804	43	0	3	2	1	1	2	0	2126	28	0	23.9413 	0	0.0184849
DL	0.432786	43	2	3	1	1	1	1	0	1717	24	0	19.6942	0	0
DL	0.432804	43	2	3	2	1	1	2	0	2126	28	0	24.0511	0	0.00598801
DL	0.432821	43	2	3	3	1	1	3	0	1946	26	0	21.7068	0	0
UL	0.440786	44	0	3	1	1	1	1	0	1831	25	0	20.0345 	0	0
UL	0.440804	44	0	3	2	1	1	2	0	2038	27	0	24.1417 	0	0
DL	0.442786	44	2	3	1	1	1	1	0	1717	24	0	20.0055	0	0
DL	0.442804	44	2	3	2	1	1	2	0	2126	28	0	24.24	0	0.00598801
DL	0.442821	44	2	3	3	1	1	3	0	1946	26	0	21.5571	0	0
UL	0.450786	45	0	3	1	1	1	1	0	1946	26	0	19.7747 	1	0.354857
UL	0.450804	45	0	3	2	1	1	2	0	2126	28	0	24.1688 	0	0.00598801
UL	0.451536	45	1	2	1	1	1	1	0	1946	26	1	19.7287 	0	0
DL	0.452786	45	2	3	1	1	1	1	0	1946	26	0	19.6838	0	0.354857
DL	0.452804	45	2	3	2	1	1	2	0	2126	28	0	23.9581	0	0.0184849
DL	0.452821	45	2	3	3	1	1	3	0	1946	26	0	21.6882	0	0
UL	0.460786	46	0	3	1	1	1	1	0	1831	25	0	19.5987 	0	0
UL	0.460804	46	0	3	2	1	1	2	0	2126	28	0	23.6679 	0	0.0184849
DL	0.462786	46	2	3	1	1	1	1	0	1717	24	0	19.569	0	0
DL	0.462804	46	2	3	2	1	1	2	0	1946	26	0	23.8092	0	0
DL	0.462821	46	2	3	3	1	1	3	0	1946	26	0	21.75	0	0
UL	0.470786	47	0	3	1	1	1	1	0	1831	25	0	19.6368 	0	0
UL	0.470804	47	0	3	2	1	1	2	0	2038	27	0	24.076 	0	0
DL	0.472786	47	2	3	1	1	1	1	0	1717	24	0	19.6184	0	0
DL	0.472804	47	2	3	2	1	1	2	0	1946	26	0	23.9015	0	0
DL	0.472821	47	2	3	3	1	1	3	0	1946	26	0	21.6736	0	0
UL	0.480786	48	0	3	1	1	1	1	0	1831	25	0	19.5995 	0	0
